word,idf
想要,3.7003
仿佛,3.7003
各具特色,3.7003
每一款,3.7003
超值,3.7003
超顺,3.7003
涂,3.7003
截图,3.7003
赔钱,3.7003
沐浴露,3.7003
每瓶,3.7003
连夜,3.7003
到用,3.7003
最最,3.7003
差,3.7003
变痒,3.7003
四五年,3.7003
淡淡,3.7003
加,3.7003
同意,3.7003
加购,3.7003
负责,3.7003
福星,3.7003
气味,3.7003
很强,3.7003
完发,3.7003
真不错,3.7003
保留,3.7003
好像,3.7003
形容,3.7003
贵,3.7003
实足,3.7003
特地,3.7003
心头,3.7003
款,3.7003
五六年,3.7003
敏感,3.7003
重点,3.7003
不见,3.7003
清雅,3.7003
美,3.7003
追评,3.7003
浓密,3.7003
挑剔,3.7003
女孩,3.7003
赶紧,3.7003
装用,3.7003
评价,3.7003
短发,3.7003
清除,3.7003
凑热闹,3.7003
两,3.7003
少许,3.7003
次数,3.7003
言,3.7003
发货,3.7003
本命,3.7003
那款,3.7003
洗掉,3.7003
婷婷,3.7003
女神,3.7003
毫不逊色,3.7003
首次,3.7003
kk,3.7003
购买,3.7003
卡厘,3.7003
洗发,3.7003
抽干,3.7003
19,3.7003
毫不犹豫,3.7003
发泡,3.7003
全程,3.7003
吸管,3.7003
正,3.7003
169,3.7003
细致,3.7003
五天,3.7003
头,3.7003
利用,3.7003
容量,3.7003
痛,3.7003
感,3.7003
一瓶,3.7003
不用,3.7003
冠军,3.7003
同款,3.7003
够买,3.7003
扁塌,3.7003
清水,3.7003
妆,3.7003
每种,3.7003
挺不错,3.7003
64,3.7003
买不到,3.7003
确认,3.7003
头油,3.7003
寄过去,3.7003
适合,3.7003
官旗,3.7003
换成,3.7003
氯化钠,3.7003
舒适,3.7003
衣服,3.7003
点,3.7003
清爽型,3.7003
真没想到,3.7003
从未有过,3.7003
淡,3.7003
自信,3.7003
会长,3.7003
半个,3.7003
走到,3.7003
太,3.7003
一款,3.7003
姐妹,3.7003
迷人,3.7003
后续,3.7003
用起,3.7003
这款,3.7003
小红,3.7003
属,3.7003
作用,3.7003
做工,3.7003
大片,3.7003
没到,3.7003
出泡,3.7003
气死我了,3.7003
贼,3.7003
错误,3.7003
油乎乎,3.7003
清清爽爽,3.7003
变油,3.7003
无意间,3.7003
出吹,3.7003
补充装,3.7003
起泡,3.7003
懒得,3.7003
1000,3.7003
完整,3.7003
139,3.7003
下次,3.7003
气味儿,3.7003
先前,3.7003
替换,3.7003
闺蜜家,3.7003
干爽,3.7003
控点,3.7003
暴燥,3.7003
回家,3.7003
66,3.7003
ehd,3.7003
海飞丝,3.7003
梳理,3.7003
就行,3.7003
觉着,3.7003
特地来,3.7003
想着,3.7003
掉,3.7003
越,3.7003
插入式,3.7003
心思,3.7003
很难,3.7003
还好,3.7003
出动,3.7003
爸爸,3.7003
156,3.7003
香味,3.7003
不多,3.7003
披散,3.7003
油田,3.7003
流,3.7003
楼,3.7003
发丝,3.7003
男朋友,3.7003
慎重,3.7003
生姜,3.7003
商标,3.7003
小心,3.7003
追求,3.7003
好评,3.7003
六个,3.7003
时尚,3.7003
贵能,3.7003
非,3.7003
选购,3.7003
冒出来,3.7003
气泡,3.7003
终于,3.7003
观念,3.7003
写,3.7003
力度,3.7003
还购,3.7003
顶,3.7003
就用到,3.7003
无线,3.7003
香香,3.7003
快速,3.7003
尝试,3.7003
剂量,3.7003
保障,3.7003
加点,3.7003
环境,3.7003
连带,3.7003
超爱,3.7003
红包,3.7003
爸爸妈妈,3.7003
反正,3.7003
从换,3.7003
奶油,3.7003
全,3.7003
太慢,3.7003
巨贴,3.7003
起泡沫,3.7003
抢购,3.7003
小女孩,3.7003
会后,3.7003
包装,3.7003
返购,3.7003
44,3.7003
磕碰,3.7003
难评,3.7003
感叹,3.7003
差远了,3.7003
指腹,3.7003
昨天,3.7003
泡面,3.7003
中通,3.7003
滑化,3.7003
27,3.7003
炒菜,3.7003
受不了,3.7003
半天,3.7003
偏,3.7003
钱,3.7003
出高,3.7003
诶,3.7003
拍照片,3.7003
出炉,3.7003
好长时间,3.7003
祝,3.7003
秃,3.7003
散,3.7003
明白,3.7003
多家,3.7003
眼睛,3.7003
再来,3.7003
黑,3.7003
染黑,3.7003
基本一致,3.7003
三思,3.7003
特多,3.7003
平时,3.7003
10,3.7003
箱子,3.7003
原于,3.7003
受害者,3.7003
变得,3.7003
淡淡地,3.7003
换过,3.7003
意,3.7003
两袋,3.7003
一到变季,3.7003
巨巨,3.7003
可惜,3.7003
我会,3.7003
抓,3.7003
简洁,3.7003
可不,3.7003
便携式,3.7003
国货,3.7003
塑料,3.7003
烦,3.7003
摸上去,3.7003
去除,3.7003
n,3.7003
几回,3.7003
暖,3.7003
生活,3.7003
用券,3.7003
洗透,3.7003
扣点,3.7003
第几次,3.7003
区别,3.7003
控优,3.7003
用没,3.7003
饭,3.7003
清爽,3.7003
126,3.7003
心疼,3.7003
过后,3.7003
适中,3.7003
提取物,3.7003
一段,3.7003
大块,3.7003
油量,3.7003
四五个,3.7003
大伙,3.7003
一会儿,3.7003
假冒伪劣,3.7003
棒棒,3.7003
爱油,3.7003
二瓶,3.7003
轮换,3.7003
好用,3.7003
上档次,3.7003
刷新,3.7003
联合利华,3.7003
亮,3.7003
黏腻,3.7003
价美物廉,3.7003
洗出来,3.7003
福音,3.7003
飞,3.7003
命,3.7003
那大,3.7003
细心,3.7003
前,3.7003
6666,3.7003
丰厚,3.7003
消息,3.7003
炸,3.7003
弄弄,3.7003
手,3.7003
马龙,3.7003
一张,3.7003
高档,3.7003
气爽,3.7003
杠杠,3.7003
描述,3.7003
太好了,3.7003
频率,3.7003
满意哦,3.7003
天洗,3.7003
总体,3.7003
公道,3.7003
fe,3.7003
调节,3.7003
稠,3.7003
没什么,3.7003
暂时,3.7003
换回来,3.7003
懒,3.7003
配货,3.7003
揉搓,3.7003
追加,3.7003
购,3.7003
小孩,3.7003
踏踏,3.7003
不顺心,3.7003
反馈,3.7003
梳,3.7003
年青人,3.7003
167,3.7003
商品,3.7003
复购,3.7003
下单,3.7003
配方,3.7003
多款,3.7003
香甜,3.7003
都篷,3.7003
宝子,3.7003
伤害,3.7003
