Pair,Score
效果	好,190.32950411147868
头发	蓬松,126.3945117883121
味道	香,70.7282132914151
气味	香,62.416323882483624
头发	柔顺,60.14794005867908
性价比	高,57.41753087280957
包装	好,56.420237481209476
质量	好,42.71421457597844
洗完	蓬松,35.73685531973345
洗发水	好,32.111506470088514
头发	清爽,30.865528643735292
洗发水	香,29.868033807404387
味道	好,25.85738378159592
洗发水	不错,25.655257906629966
效果	不错,25.132216990883926
头皮	清爽,25.09434917103873
产品	好,23.072515202170752
洗完	清爽,22.99379760032052
感觉	不错,22.246410141486567
洗完	柔顺,21.280419614157775
感觉	清爽,19.9718571696025
气味	好,18.865358388994526
泡沫	丰富,17.651331780581
服务态度	好,16.856066798329504
东西	好,15.10217529811436
头发	香,14.008297126082862
味道	清新,12.665222944290766
头皮	舒服,12.481769597432029
能力	强,12.283914688337443
商品	好,12.210510436228706
味道	不错,10.61447161964621
洗发水	温和,10.241739156215939
洗完	舒服,10.222974919821539
清洁力	强,10.179094407788865
头发	容易,10.053174526432706
控油	好,9.793411845384018
香味	持久,9.743748082586817
泡沫	细腻,8.669253468017343
力度	强,8.109953015067905
颜值	高,8.02149574365907
感觉	舒服,7.886222503865515
态度	好,6.62492778713424
香味	清新,6.499672002646532
头发	舒服,6.4126448952888
宝贝	好,6.371837594099461
包装	仔细,6.230068551569532
产品质量	好,6.060166697146633
头发	柔软,6.004617980105576
头皮	干净,5.988595910518125
效果	明显,5.944603501057902
包装	严实,5.90207108940101
质地	好,5.90122107118585
感觉	好,5.560377778567273
头发	干净,4.970695647759601
气味	不错,4.44529426884623
产品	不错,4.260590328664627
气味	清新,4.233888419736985
上头	温和,4.175805634277338
包装	精致,4.175805634277338
追评	不错,4.16215903176396
油头	友好,4.13281466494853
体验感	好,4.086183537593222
包装	完整,3.976674818122784
发质	好,3.953490250926078
客服	好,3.9524436143044457
成分	温和,3.9522273060929063
好闻	香,3.9411400531681324
气味	舒服,3.9400948974623344
宝贝	不错,3.9375527857425707
产品包装	好,3.9341473807905665
变得	蓬松,3.9341473807905665
吸收	好,3.9341473807905665
商品质量	好,3.9341473807905665
好用	不错,3.9341473807905665
态度	积极,3.9341473807905665
感觉	一般,3.9341473807905665
洗头	清爽,3.9341473807905665
洗头水	好,3.9341473807905665
感觉	舒适,3.788694604449091
洗起来	舒服,2.5999934843842754
护发素	好,2.5497685114646313
洗感	舒服,2.537194246922406
东西	不错,2.398892613980816
香味	好,2.3621594166926516
价格	合适,2.3619329259599913
体验	不错,2.3385607221216906
感受	不错,2.295921170778966
洗出来	蓬松,2.2905458958962663
感觉	蓬松,2.2587256611068733
控油	持久,2.22805346707046
洗完	香,2.225628553916396
头发	滑顺,2.208731943882055
头发	干爽,2.189067241414752
追评	好,2.1799091877270094
感觉	明显,2.0360743234962086
头皮	舒适,2.035104068474227
口碑	不错,2.018559411996208
时间	长,2.017918742909958
头发	好,2.013314480574275
成分	安全,2.0130900054984386
洗发	柔顺,2.011662886383271
包装	完好,2.009697475554503
脱发	严重,2.0069762191619644
油腻	清爽,2.0058075065967125
商品	不错,2.004621338244649
头顶	干净,2.0004320285007067
变得	柔顺,1.9969001725452529
体验	好,1.9891478452391147
能力	不错,1.9872039677325941
气味	清爽,1.9851536156976233
发现	好,1.9837114716047242
留香	久,1.9764963987533724
能力	好,1.9752757068853002
味道	清淡,1.9737298778936603
气味	细腻,1.9720767285416774
留香	好,1.9719989429041547
好用	香,1.9710425610216953
控油	清爽,1.970541827722776
头发	枯燥,1.9704196289821316
品质	好,1.9696779441962315
油头	好,1.9686020811744307
喜欢	香,1.9684910196001812
顺滑	蓬松,1.968465496816835
洗发水	细腻,1.9675453344026022
洗发水	清爽,1.9674509802689855
大油头	友好,1.9672623172425732
出油	严重,1.9671752933528872
发质	差,1.967168003818928
头油	慢,1.9671679992971884
头皮	舒爽,1.9671679992971884
好用	柔顺,1.9671679992971884
心情	愉悦,1.9671679992971884
感觉	香,1.9671679992971884
按摩	舒服,1.9671679992971884
洗完	干痒,1.9671679992971884
赠品	香,1.9671679992971884
不算	贵,1.9670736903952832
不算	低,1.9670736903952832
体验感	差,1.9670736903952832
光泽度	高,1.9670736903952832
减少	明显,1.9670736903952832
出厂日期	新,1.9670736903952832
功效	好,1.9670736903952832
包装	精美,1.9670736903952832
包装	严密,1.9670736903952832
包装	一般,1.9670736903952832
包装	干净,1.9670736903952832
印象	好,1.9670736903952832
去屑	干净,1.9670736903952832
发货	迅速,1.9670736903952832
味道	甜腻,1.9670736903952832
品牌	不错,1.9670736903952832
头发	轻,1.9670736903952832
头皮屑	严重,1.9670736903952832
