Key,Value
效果,好 不错 明显 差
头发,蓬松 柔顺 清爽 香 容易 舒服 柔软 干净 滑顺 干爽 好 枯燥 轻
味道,香 好 清新 不错 清淡 甜腻
气味,香 好 不错 清新 舒服 清爽 细腻 清淡 浓厚
性价比,高
包装,好 仔细 严实 精致 完整 完好 精美 严密 一般 干净
质量,好
洗完,蓬松 清爽 柔顺 舒服 香 干痒
洗发水,好 香 不错 温和 细腻 清爽
头皮,清爽 舒服 干净 舒适 舒爽
产品,好 不错
感觉,不错 清爽 舒服 好 一般 舒适 蓬松 明显 香
泡沫,丰富 细腻
服务态度,好
东西,好 不错
能力,强 不错 好
商品,好 不错
清洁力,强
控油,好 持久 清爽 彻底
香味,持久 清新 好
力度,强
颜值,高
态度,好 积极
宝贝,好 不错
产品质量,好
质地,好
上头,温和
追评,不错 好
油头,友好 好
体验感,好 差
发质,好 差
客服,好
成分,温和 安全 好
好闻,香
产品包装,好
变得,蓬松 柔顺
吸收,好
商品质量,好
好用,不错 香 柔顺
洗头,清爽
洗头水,好
洗起来,舒服
护发素,好
洗感,舒服
价格,合适
体验,不错 好
感受,不错
洗出来,蓬松 干净
口碑,不错
时间,长 久
洗发,柔顺
脱发,严重
油腻,清爽
头顶,干净 清爽
发现,好
留香,久 好
品质,好
喜欢,香
顺滑,蓬松
大油头,友好
出油,严重
头油,慢
心情,愉悦
按摩,舒服
赠品,香
不算,贵 低
光泽度,高
减少,明显
出厂日期,新
功效,好
印象,好
去屑,干净
发货,迅速
品牌,不错
头皮屑,严重
好看,好
揉搓,温和
提好,好
有用,香
材质,好
洗发露,香
