合成词,综合得分
细软塌,17.6133
抖音,17.3257
正装,16.9633
越洗越,15.9567
马龙代言,15.5570
刘诗诗代言,15.5431
都是,15.2196
油性发质,15.1340
不知道,15.0627
掉发,14.5812
油脂分泌,14.4481
搞活动,14.4348
让人,14.2532
梳到底,14.1387
能够有效,14.1033
心情愉悦,14.0011
一定要,13.8106
颅顶,13.7985
出油,13.7389
比实体店,13.7245
更加健康,13.7038
买来试试,13.6933
洗完头,13.6222
惊艳到,13.5776
一大瓶,13.5650
发货速度,13.5143
五星好评,13.4988
收到货,13.3897
能够深入,13.3779
高颅,13.3690
支持代言人,13.3365
能有效,13.3199
终于找到,13.2927
贴着头皮,13.2836
来评价,13.2597
差评,13.2006
再来,13.1841
想象中,13.1566
起头皮屑,13.1456
不用洗头,13.1163
长期使用,13.1076
控油效果,13.1045
变得更加,13.0429
有光泽,13.0343
水润亮泽,13.0332
追评用,12.9850
有效控制,12.9796
深层清洁,12.9788
清洁力度,12.9506
商品气味,12.9000
大油头,12.8915
赞赞赞,12.8821
只需要,12.8769
怡人,12.8276
客服态度,12.7812
去油,12.7112
也不会,12.6722
闻起来,12.5270
老是,12.4692
不用护发素,12.4582
客服服务态度,12.4520
买过,12.4296
控制油脂,12.4282
贴头皮,12.4203
赶紧入手,12.4015
值得信赖,12.4007
油头救星,12.3448
也是,12.3094
也很,12.3082
卖家服务态度,12.2843
时间长,12.2734
能保持,12.1966
就会,12.1675
只能说,12.1637
老顾客,12.1607
好好好好,12.1478
比超市,12.0447
看起来更加,12.0199
不出油,12.0100
才来,12.0025
就开始,11.9877
明显减少,11.9620
买来试一试,11.9602
也不,11.9150
清新宜人,11.9147
去屑效果,11.9142
真的很,11.9121
值得拥有,11.9112
商家服务态度,11.8963
经济实惠,11.8855
从来没有,11.8741
去屑止痒,11.8610
刚开始,11.8509
泡沫丰富,11.8237
朋友推荐,11.7485
摸起来,11.7410
kono家,11.7345
使用感受,11.7304
搓出,11.7151
头痒,11.7135
收到货后,11.6262
用完,11.5968
能坚持,11.5965
容易出,11.5907
不油腻,11.5527
朋友介绍,11.5327
吹完,11.5126
用过,11.4918
都有,11.4823
干涩感,11.4710
控油能力,11.4608
有活动,11.4462
都没有,11.4433
不刺鼻,11.4411
性价比高,11.4339
不需要,11.4168
也比较,11.3772
持久留香,11.3309
爱出油,11.3209
还会,11.2933
无限回购,11.2816
油头星人,11.2786
头发都,11.2611
有效去除,11.2497
听朋友,11.0287
洗完头发,11.0283
量大,10.9934
洗感温和,10.9659
实体店便宜,10.9628
有头皮屑,10.9570
简直是,10.9355
能买到,10.9333
不洗头,10.9264
大品牌,10.9233
没有副作用,10.9229
全家人都,10.9182
非常棒,10.9096
再也不,10.8760
好好闻,10.8603
会继续,10.8441
没有头皮屑,10.7716
使用感,10.7472
没有破损,10.7436
包装精美,10.7296
能力强,10.7260
容易出油,10.7095
真的是,10.7032
不毛躁,10.6662
泡沫绵密,10.6511
头皮发痒,10.6456
全是,10.6383
亮泽护发素,10.6365
建议大家,10.6361
都不会,10.6257
深入清洁,10.5790
再来追评,10.5761
也没,10.5584
蓬松感,10.5471
物流速度,10.5360
都说好,10.5188
价格实惠,10.4663
用起来,10.4552
都说,10.4464
是正品,10.4305
再次回购,10.4298
超市便宜,10.4071
还有赠品,10.3933
快冲,10.3925
包装完好,10.3707
能自信满满,10.3691
容易清洗,10.3641
包装严实,10.3473
柔顺亮泽,10.3310
款洗发水,10.3224
继续回购,10.3137
个人觉得,10.2855
也变得,10.2801
长头皮屑,10.2726
洗发水真的,10.2520
保持清爽,10.2483
成分温和,10.2357
重点是,10.2100
用过最好,10.1836
容易油,10.1302
都很,10.1140
洗头都,10.1090
不像,10.0952
很舒服,10.0736
刚收到,10.0686
避雷难用,10.0582
未使用,10.0561
还没用,10.0448
头发变得,10.0445
推荐大家,10.0241
使用体验,10.0202
也不痒,10.0179
有需要,10.0121
不打结,10.0068
头发特别,9.9761
非常满意,9.9716
会有,9.9637
值得购买,9.9604
kono洗发水,9.9529
也没有,9.9430
来评论,9.9396
线下买,9.8839
头皮痒,9.8412
有头屑,9.8397
很香,9.8336
全家都,9.8315
还行,9.8276
不会刺激,9.8249
不刺激,9.8098
头发也,9.7943
来光顾,9.7850
太差,9.7785
蓬松又,9.7643
隔天洗,9.7527
习惯好评,9.7313
真心推荐,9.7208
让洗发,9.7036
真的太,9.7018
难用难用,9.6987
头发就,9.6844
太爱,9.6839
泡沫细腻,9.6803
很喜欢,9.6784
再买,9.6748
也特别,9.6705
不会有,9.6579
出门都,9.6419
去除头皮,9.6356
开始使用,9.6283
来回购,9.6235
也挺,9.6103
头皮不痒,9.6098
非常好,9.6057
就直接,9.6010
已经回购,9.5760
值得推荐,9.5646
用完后,9.5644
柔顺丝滑,9.5603
物流很快,9.5421
感觉头发,9.5421
有用过,9.5390
先好评,9.5281
还不错,9.5167
蛮好用,9.5057
已收到,9.5055
看起来更,9.5054
贼清爽,9.5049
服务也,9.4980
爱出油,9.4896
太划算,9.4797
速度很快,9.4579
都会,9.4428
能深层,9.4403
试过,9.4381
油性头发,9.4374
特别特别,9.4361
发根都,9.4205
不建议,9.4195
特别好,9.4134
坚持使用,9.4047
去头皮屑,9.3989
不会再,9.3915
更加顺滑,9.3887
不再油腻,9.3877
不好用,9.3858
都不,9.3821
就能,9.3778
人心情,9.3758
头发蓬松,9.3680
更加柔顺,9.3508
是假货,9.3458
气味芳香,9.3433
头发比较,9.3244
很不错,9.3190
一直都,9.3090
活动又,9.3049
会再次,9.2982
很容易,9.2795
不干燥,9.2710
超市买,9.2689
不干涩,9.2636
物流快,9.2597
整体感觉,9.2432
很好用,9.2413
包装完整,9.2325
清爽舒适,9.1925
大家购买,9.1736
很清爽,9.1730
不要买,9.1704
不会差,9.1505
头发柔顺,9.1495
价格优惠,9.1455
一直用,9.1326
又油,9.1278
比较顺滑,9.1082
很好用,9.0890
再评价,9.0665
巨蓬松,9.0641
不会让,9.0507
还能,9.0436
留香持久,9.0428
同事推荐,9.0405
很蓬松,9.0393
头发不再,9.0380
值得入手,9.0353
价格也,9.0137
不容易,9.0097
快递很快,9.0032
特别喜欢,8.9504
完头发,8.9480
清洁头皮,8.9304
一定会,8.9230
头发很,8.9196
都不用,8.9141
不会痒,8.9106
发货很快,8.9043
很柔顺,8.9034
出泡沫,8.8908
滋养头皮,8.8846
还赠送,8.8728
巨好用,8.8639
香味清新,8.8611
丰富细腻,8.8543
看看效果,8.8427
建议购买,8.8218
都感到,8.8141
能让,8.8111
感觉头皮,8.8058
就痒,8.8031
感觉到,8.7838
很适合,8.7832
打开闻,8.7793
味道清新,8.7713
效果真的,8.7692
宝贝收到,8.7663
都感觉,8.7570
还没,8.7521
适合油性,8.7390
很好,8.7276
都不油,8.7054
也有,8.7031
很顺滑,8.6809
又来,8.6788
活动买,8.6717
香味持久,8.6060
很贴心,8.6017
也能,8.6012
都能,8.5953
是油头,8.5828
推荐购买,8.5811
发货快,8.5775
效果也,8.5760
变得柔顺,8.5710
挺好,8.5590
容易就,8.5589
是油性,8.5182
挺香,8.5091
柔软顺滑,8.5063
还送,8.5022
香味也,8.4969
也非常,8.4935
效果杠杠,8.4929
就有,8.4850
会回购,8.4801
期待效果,8.4732
使用起来,8.4686
都觉得,8.4637
放心购买,8.4528
本命洗发水,8.4506
时候泡沫,8.4370
很满意,8.4330
效果确实,8.4314
洗完吹干,8.4253
气味清香,8.4251
挺好闻,8.4073
好用,8.4039
别买,8.3970
赠品发膜,8.3961
想买,8.3699
确实不错,8.3543
控油蓬松,8.3417
控油洗发水,8.3392
再回购,8.3315
控油效果显著,8.3154
头皮屑也,8.3117
就像,8.3018
使用效果,8.2991
是真的,8.2963
干净又,8.2942
真心不错,8.2912
挺划算,8.2905
最喜欢,8.2695
不贴,8.2461
不黏腻,8.2396
直接买,8.2392
朋友说,8.2351
再用,8.2334
速度快,8.2313
完全没有,8.2173
开始用,8.2106
很好闻,8.2090
很干净,8.2027
价格合适,8.2023
搓就,8.1984
用kono,8.1671
头皮屑少,8.1472
是大,8.1293
人都,8.1212
头皮也,8.1149
还挺,8.1027
感觉很,8.0998
觉得挺好用,8.0978
有问题,8.0934
真的很棒,8.0915
会光顾,8.0840
是朋友,8.0775
让头发,8.0751
头发明显,8.0737
护发素都,8.0642
头发看起来,8.0498
都没,8.0471
护发素也,8.0438
味道也,8.0418
刺激头皮,8.0186
用空,8.0106
头发不油,8.0002
温和不,7.9900
会再,7.9832
蓬松柔软,7.9781
气味清新,7.9644
更干净,7.9640
明显感觉,7.9624
说好用,7.9622
已经是,7.9514
太好用,7.9381
服务态度也,7.9241
蓬松效果,7.9203
就用过,7.9075
油性头皮,7.9067
还有送,7.9061
挺喜欢,7.9038
就到,7.8999
头皮都,7.8904
头发不,7.8895
很划算,7.8751
也不油,7.8345
头发真的,7.8246
很久,7.8069
头发属于,7.8049
都要,7.8029
又回购,7.7837
也很快,7.7785
不好闻,7.7750
才洗,7.7704
不会刺鼻,7.7678
还没有,7.7654
要买,7.7651
清爽蓬松,7.7344
量也,7.7340
特别清爽,7.7273
头发非常,7.7262
应该是,7.7246
朋友都,7.7061
起来很,7.7058
特别干净,7.6956
使用过,7.6942
继续购买,7.6928
就油,7.6779
特别香,7.6718
头发清爽,7.6670
特别好闻,7.6642
家人都,7.6607
非常喜欢,7.6478
包装也,7.6362
来购买,7.6235
感觉更加,7.6111
变得清爽,7.6084
价格又,7.6009
味道挺,7.5917
头都,7.5882
清新不,7.5773
好评好评,7.5764
就不会,7.5725
使用完,7.5661
没开始,7.5596
确实是,7.5575
头发越来越,7.5565
货已,7.5452
很清新,7.5112
止痒效果,7.4836
买到,7.4647
赠品也,7.4631
一直使用,7.4598
是细软,7.4574
洗过,7.4556
感觉还,7.4317
家里人也,7.4306
特别舒服,7.4273
包装很,7.4250
很温和,7.4234
更加清爽,7.4167
效果不错,7.4127
没使用,7.4087
客服也,7.3973
一直在用,7.3927
好用再,7.3740
健康有,7.3738
洗头也,7.3646
留香也,7.3494
不会油,7.3489
泡泡也,7.3340
感觉清爽,7.3326
特别柔顺,7.3225
很有,7.3098
洗出来头发,7.3060
蓬松顺滑,7.3026
味道很,7.2992
比较清爽,7.2916
不会油腻,7.2655
就很,7.2626
很实惠,7.2436
就没有,7.2403
再次购买,7.2400
不会出,7.2351
清爽不,7.2351
一直回购,7.2349
真的特别,7.2299
就不,7.2246
太满意,7.2227
很合适,7.2152
头就,7.2137
减少头皮屑,7.2102
比较喜欢,7.2078
说很,7.2031
来买,7.1921
还特别,7.1828
起来也,7.1813
还不,7.1812
已经收到,7.1761
都轻松,7.1700
头发保持,7.1499
太喜欢,7.1498
很强,7.1412
是控油,7.1370
头发感觉,7.1346
也慢,7.1340
发现头发,7.1278
继续买,7.1253
头发顺滑,7.1156
效果非常,7.1099
更有,7.1086
也不贵,7.1070
洗发水简直,7.1038
还来,7.0867
真的不,7.0843
是新,7.0840
泡沫非常,7.0724
超好用,7.0681
没有打结,7.0670
头皮就,7.0566
特别顺滑,7.0322
不适合,7.0293
头发油,7.0268
效果还,7.0095
也少,6.9994
洗发水真是,6.9930
完再,6.9835
出油也,6.9826
头皮清爽,6.9724
物流也,6.9701
也很棒,6.9697
细腻丰富,6.9563
洗发水都,6.9420
觉得不错,6.9408
买来用,6.9389
非常不错,6.9361
推荐推荐,6.9227
很好看,6.9129
控油款,6.9088
香味很,6.9063
也不错,6.9050
质量不错,6.8999
又买,6.8977
油头真的,6.8950
干净清爽,6.8873
洗发水是,6.8859
控油去屑,6.8840
就感觉,6.8796
头皮屑都,6.8752
效果很棒,6.8696
蛮喜欢,6.8673
发膜也,6.8605
家里人都,6.8442
不控油,6.8410
气味味道,6.8261
洗完头皮,6.8116
不干,6.8111
很方便,6.8040
效果都,6.7986
是太,6.7894
不觉得,6.7826
就再,6.7768
非常好闻,6.7763
值得大家,6.7761
很干爽,6.7754
已经买,6.7716
朋友家用,6.7608
味道好闻,6.7602
味道好好,6.7579
头皮感觉,6.7545
就买,6.7495
又蓬松,6.7484
效果最好,6.7474
效果明显,6.7473
很快就,6.7457
特别满意,6.7271
好香,6.7238
是很,6.7035
不洗,6.7014
会一直,6.6829
头发掉,6.6805
特别痒,6.6581
再追评,6.6466
看着不错,6.6440
能力很,6.6385
味道清香,6.6303
收到就,6.6264
很赞,6.6188
头发出油,6.6125
香味好闻,6.5850
感觉洗,6.5782
去除头发,6.5737
更加有,6.5684
起来非常,6.5635
很精致,6.5521
头皮不会,6.5402
